ley,articulo,texto
1,Artículo 1,"DE LA FORMA DEL ESTADO Y DE GOBIERNO La República del Paraguay es para siempre libre e independiente. Se constituye en Estado social de derecho, unitario, indivisible, y descentralizado en la forma que se establecen esta Constitución y las leyes. La República del Paraguay adopta para su gobierno la democracia representativa, participativa y pluralista, fundada en el reconocimiento de la dignidad humana."
1,Artículo 2,"DE LA SOBERANIA En la República del Paraguay la soberanía reside en el pueblo, que la ejerce, conforme con lo dispuesto en esta Constitución."
1,Artículo 3,"DEL PODER PUBLICO El pueblo ejerce el Poder Público por medio del sufragio. El gobierno es ejercido por los poderes Legislativo, Ejecutivo y Judicial en un sistema de independencia, equilibrio, coordinación y recíproco control. Ninguno de estos poderes puede atribuirse, ni otorgar a otro ni a persona alguna, individual o colectiva, facultades extraordinarias o la suma del Poder Público. La dictadura está fuera de la ley. TITULO II DE LOS DERECHOS, DE LOS DEBERES Y DE LAS GARANTIAS CAPITULO I DE LA VIDA Y DEL AMBIENTE SECCION I DE LA VIDA"
1,Artículo 4,"DEL DERECHO A LA VIDA El derecho a la vida es inherente a la persona humana. Se garantiza su protección, en general, desde la concepción. Queda abolida la pena de muerte. Toda persona será protegida por el Estado en su integridad física y psíquica, así como en su honor y en su reputación. La ley reglamentará la libertad de las personas para disponer de su propio cuerpo, sólo con fines científicos o médicos."
1,Artículo 5,"DE LA TORTURA Y DE OTROS DELITOS Nadie será sometido a torturas ni a penas o tratos crueles, inhumanos o degradantes. El genocidio y la tortura, así como la desaparición forzosa de personas, el secuestro y el homicidio por razones políticas son imprescriptibles."
1,Artículo 6,"DE LA CALIDAD DE VIDA La calidad de vida será promovida por el Estado mediante planes y políticas que reconozcan factores condicionantes, tales como la extrema pobreza y los impedimentos de la discapacidad o de la edad. El Estado también fomentará la investigación de los factores de población y sus vínculos con el desarrollo económico social, con la preservación del ambiente y con la calidad de vida de los habitantes. SECCION II DEL AMBIENTE"
1,Artículo 7,"DEL DERECHO A UN AMBIENTE SALUDABLE Toda persona tiene derecho a habitar en un ambiente saludable y ecológicamente equilibrado. Constituyen objetivos prioritarios de interés social la preservación, la conservación, la recomposición y el mejoramiento del ambiente, así como su conciliación con el desarrollo humano integral. Estos propósitos orientarán la legislación y la política gubernamental."
1,Artículo 8,"DE LA PROTECCION AMBIENTAL Las actividades susceptibles de producir alteración ambiental serán reguladas por la ley.  Asimismo, ésta podrá restringir o prohibir aquéllas que califique peligrosas. Se prohíbe la fabricación, el montaje, la importación, la comercialización, la posesión o el uso de armas nucleares, químicas y biológicas, así como la introducción al país de residuos tóxicos. La ley podrá extender ésta prohibición a otros elementos peligrosos; asimismo, regulará el tráfico de recursos genéticos y de su tecnología, precautelando los intereses nacionales. El delito ecológico será definido y sancionado por la ley. Todo daño al ambiente importará la obligación de recomponer e indemnizar. CAPITULO II DE LA LIBERTAD"
1,Artículo 9,DE LA LIBERTAD Y DE LA SEGURIDAD DE LAS PERSONAS Toda persona tiene el derecho a ser protegida en su libertad y en su seguridad. Nadie está obligado a hacer lo que la ley no ordena ni privado de lo que ella no prohíbe.
1,Artículo 10,"DE LA PROSCRIPCION DE LA ESCLAVITUD Y OTRAS SERVIDUMBRES Están proscriptas la esclavitud, las servidumbres personales y la trata de personas. La ley podrá establecer cargas sociales en favor del Estado."
