ley,titulo,url
1,"Constitución Nacional","https://www.bacn.gov.py/leyes-paraguayas/9580/constitucion-nacional-"
213,"Código del Trabajo","https://www.bacn.gov.py/leyes-paraguayas/2608/ley-n-213-establece-el-codigo-del-trabajo"
1183,"Código Civil","https://www.bacn.gov.py/leyes-paraguayas/5293/codigo-civil"
1160,"Código Penal","https://www.bacn.gov.py/leyes-paraguayas/3497/codigo-penal"
834,"Código Electoral Paraguayo","https://www.bacn.gov.py/leyes-paraguayas/2346/ley-n-834-establece-el-codigo-electoral-paraguayo"
5016,"Ley de Transito y Seguridad Vial","https://www.bacn.gov.py/leyes-paraguayas/4418/ley-n-5016-nacional-de-transito-y-seguridad-vial"
642,"Ley de Telecomunicaciones","https://www.bacn.gov.py/leyes-paraguayas/2452/ley-n-642-telecomunicaciones"
1680,"Código de la Niñez y la Adolescencia","https://www.bacn.gov.py/leyes-paraguayas/5261/codigo-de-la-ninez-y-la-adolescencia"
577,"Ley de Protección Integral a las Mujeres, contra toda forma de violencia","https://www.bacn.gov.py/leyes-paraguayas/8356/ley-n-5777-de-proteccion-integral-a-las-mujeres-contra-toda-forma-de-violencia"
3540,"CONVENCION SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD Y EL PROTOCOLO FACULTATIVO DE LA CONVENCION SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD","https://www.bacn.gov.py/leyes-paraguayas/1763/ley-n-3540-aprueba-la-convencion-sobre-los-derechos-de-las-personas-con-discapacidad-y-el-protocolo-facultativo-de-la-convencion-sobre-los-derechos-de-las-personas-con-discapacidad"
6534,"LEY DE PROTECCIÓN DE DATOS PERSONALES CREDITICIOS","https://www.bacn.gov.py/leyes-paraguayas/9417/ley-n-6534-de-proteccion-de-datos-personales-crediticios"
4995,"Ley de Educación Superior","https://www.bacn.gov.py/leyes-paraguayas/4401/ley-n-4995-de-educacion-superior"
5282,"LIBRE ACCESO CIUDADANO A LA INFORMACIÓN PÚBLICA Y TRANSPARENCIA GUBERNAMENTAL","https://www.bacn.gov.py/leyes-paraguayas/3013/libre-acceso-ciudadano-a-la-informacion-publica-y-transparencia-gubernamental"
1334,"DE DEFENSA DEL CONSUMIDOR Y DEL USUARIO","https://www.bacn.gov.py/leyes-paraguayas/897/ley-n-1334-de-defensa-del-consumidor-y-del-usuario"
5621,"LEY DE PROTECCIÓN DEL PATRIMONIO CULTURAL","https://www.bacn.gov.py/leyes-paraguayas/5259/ley-n-5621-de-proteccion-del-patrimonio-cultural"
6984,"Ley de Migraciones","https://www.bacn.gov.py/leyes-paraguayas/10973/ley-n-6984-de-migraciones"
