pregunta	respuesta
¿Puede el presidente del Paraguay ser reelegido?	Según los artículos Artículo 19, A los efectos de las limitaciones que establece esta Constitución para la reelección de los cargos electivos de los diversos poderes del Estado, se computara el actual periodo inclusive.
¿Qué derechos tengo como ciudadano en caso de ser detenido?	Según los artículos Artículo 12, Artículo 133, Artículo 136, DE LA DETENCION Y DEL ARRESTO Nadie será detenido ni arrestado sin orden escrita de autoridad competente, salvo caso de ser sorprendido en flagrante comisión de delito que mereciese pena corporal. Toda persona detenida tiene derecho a: 1. que se le informe, en el momento del hecho, de la causa que la motiva, de su derecho a guardar silencio y a ser asistida por un defensor de su confianza. En el acto de la detención, la autoridad está obligada a exhibir la orden escrita que la dispuso; 2. que la detención sea inmediatamente comunicada a sus familiares o personas que el detenido indique; 3. que se le mantenga en libre comunicación salvo que, excepcionalmente, se halle establecida su incomunicación por mandato judicial competente; la incomunicación no regirá respecto a su defensor, y en ningún caso podrá exceder del término que prescribe la ley; 4. que disponga de un intérprete, si fuere necesario, y a 5. que sea puesta, en un plazo no mayor de veinticuatro horas, a disposición del magistrado judicial competente, para que éste disponga cuanto corresponda en derecho. DEL HABEAS CORPUS Esta garantía podrá ser interpuesta por el afectado, por sí o por interpósita persona, sin necesidad de poder por cualquier medio fehaciente, y ante cualquier Juez de Primera Instancia de la circunscripción judicial respectiva. El Hábeas Corpus podrá ser: 1.Preventivo:en virtud del cual toda persona, en trance inminente de ser privada ilegalmente de su libertad física, podrá recabar el examen de la legitimidad de las circunstancias que, a criterio del afectado, amenacen su libertad, así como una orden de cesación de dichas restricciones. 2.Reparador:en virtud del cual toda persona que se hallase ilegalmente privada de su libertad puede recabar la rectificación de las circunstancias del caso. El magistrado ordenará la comparecencia del detenido, con un informe del agente público o privado que lo detuvo, dentro de las veinticuatro horas de radicada la petición. Si el requerido no lo hiciese así, el Juez se constituirá en el sitio en el que se halle recluida la persona, y en dicho lugar hará juicio de méritos y dispondrá su inmediata libertad, igual que si se hubiese cumplido con la presentación del detenido y se haya radicado el informe. Si no existiesen motivos legales que autoricen la privación de su libertad, la dispondrá de inmediato; si hubiese orden escrita de autoridad judicial, remitirá los antecedentes a quien dispuso la detención. 3.Genérico:en virtud del cual se podrán demandar rectificación de circunstancias que, no estando contempladas en los dos casos anteriores, restrinjan la libertad o amenacen la seguridad personal. Asimismo, esta garantía podrá interponerse en casos de violencia física, psíquica o moral que agraven las condiciones de personas legalmente privadas de su libertad. La ley reglamentará las diversas modalidades del hábeas corpus, las cuales procederán incluso, durante el Estado de excepción. El procedimiento será breve, sumario y gratuito, pudiendo ser iniciado de oficio. DE LA COMPETENCIA Y DE LA RESPONSABILIDAD DE LOS MAGISTRADOS Ningún magistrado judicial que tenga competencia podrá negarse a entender en las acciones o recursos previstos en los artículos anteriores; si lo hiciese injustificadamente, será enjuiciado y, en su caso, removido. En las decisiones que dicte, el magistrado judicial deberá pronunciarse también sobre las responsabilidades en que hubieran incurrido las autoridades por obra del proceder ilegítimo y, de mediar circunstancias que prima facie evidencien la perpetración de delito, ordenará la detención o suspensión de los responsables, así como toda medida cautelar que sea procedente para la mayor efectividad de dichas responsabilidades. Asimismo, si tuviese competencia, instruirá el sumario, pertinente y dará intervención al Ministerio Público; si no la tuviese, pasará los antecedentes al magistrado competente para su prosecución. PARTE II DEL ORDENAMIENTO POLITICO DE LA REPUBLICA TITULO I DE LA NACION Y DEL ESTADO CAPITULO I DE LAS DECLARACIONES GENERALES
¿Está garantizada la libertad de prensa en el país?	Según los artículos Artículo 26, Artículo 1, DE LA LIBERTAD DE EXPRESION Y DE PRENSA Se garantizan la libre expresión y la libertad de prensa, así como la difusión del pensamiento y de la opinión, sin censura alguna, sin más limitaciones que las dispuestas en esta Constitución; en consecuencia, no se dictará ninguna ley que las imposibilite o las restrinja. No habrá delitos de prensa, sino delitos comunes cometidos por medio de la prensa. Toda persona tiene derecho a generar, procesar o difundir información, como igualmente a la utilización de cualquier instrumento lícito y apto para tales fines. °Objeto. La presente ley reglamenta el artículo 28 de la Constitución Nacional, a fin de garantizar a todas las personas, el efectivo ejercicio del derecho al acceso a la información pública, a través de la implementación de las modalidades, plazos, excepciones y sanciones correspondientes, que promuevan la trasparencia del Estado. Ninguna disposición de esta ley podrá ser entendida o utilizarse para negar, menoscabar o limitar la libertad de expresión, la libertad de prensa o la libertad de ejercicio del periodismo.
¿Cuántos días de vacaciones me corresponden por ley?	Según los artículos Artículo 91, Artículo 71, Artículo 92, DE LAS JORNADAS DE TRABAJO Y DE DESCANSO La duración máxima de la jornada ordinaria de trabajo no excederá de ocho horas diarias y cuarenta y ocho horas semanales, diurnas, salvo las legalmente establecidas por motivos especiales. La ley fijará jornadas más favorables para las tareas insalubres, peligrosas, penosas, nocturnas o las que se desarrollen en turnos continuos rotativos. Los descansos y las vacaciones anuales serán remunerados conforme con la ley. .-Son causas de suspensión de los contratos de trabajo: a) La falta o insuficiencia de materias primas o fuerza motriz para llevar adelante las tareas, siempre que no sea imputable al empleador; b) La imposibilidad temporal de continuar las labores, como consecuencia directa e inmediata de la muerte o incapacidad del empleador; c) La carencia de medios de pago y la imposibilidad de obtenerlos para la continuación normal de los trabajos, debidamente justificadas por el empleador; d) El exceso de producción en una industria determinada, con relación a las condiciones económicas de la empresa y a la situación del mercado; e) La imposibilidad de proseguir los trabajos en una empresa o industria determinada, por no ser rentable la explotación; f) El caso fortuito o la fuerza mayor, cuando tenga como consecuencia necesaria, inmediata y directa la interrupción de las faenas; g) Las enfermedades que imposibiliten al trabajador para el desempeño de sus tareas; h) La detención, arresto o prisión preventiva del trabajador, decretados por autoridad competente; i) La detención, arresto o prisión del empleador, decretados por autoridad competente, cuando interrumpan necesaria e inevitablemente el desarrollo normal de los trabajos; j) La cesación anual de las labores en las industrias que, por la naturaleza de la explotación, tienen una actividad periódica o discontinua; k) El cumplimiento por el trabajador del servicio militar obligatorio o de otras obligaciones legales, así como su incorporación a las Fuerzas Armadas de la Nación en los casos de movilización decretada; l) Los accidentes de trabajo y enfermedades profesionales, en las circunstancias previstas por la Ley, cuando sólo ocasionen en el trabajador una incapacidad temporal para el trabajo; ll) La huelga y el paro, salvo el caso que fuere calificado ilegal; m) El descanso pre y postnatal, licencias, reposos legales y vacaciones; n) El ejercicio de un cargo sindical o el desempeño de funciones representativas en organismos oficiales o gremiales que impidan al trabajador dedicarse al normal desempeño de sus labores; y, ñ) Cualesquiera otras circunstancias previstas en el contrato de trabajo y reglamento interno o sobrevinientes que, a juicio de la autoridad del trabajo, hagan necesaria la suspensión o reducción de los trabajos. .-El preaviso y las indemnizaciones de que tratan los artículos anteriores, se regirán por las siguientes reglas: a) El importe de los mismos no podrá ser objeto de compensación, venta o cesión, ni embargo, salvo en la mitad, por concepto de pensiones alimenticias; b) La indemnización que corresponde se calculará tomando como base el promedio de los salarios devengados por el trabajador, durante los últimos seis meses que tenga de vigencia el contrato o fracción de tiempo menor, si no se hubiese ajustado dicho término; y, c) La continuidad del trabajo no se considera interrumpida por enfermedad, licencia, vacaciones, huelgas, paros legales y otras causas que según este Código no ponen término al contrato de trabajo.
¿Pueden despedirme sin justificación legal?	Según los artículos Artículo 94, Artículo 60, Artículo 74, DE LA ESTABILIDAD Y DE LA INDEMNIZACION El derecho a la estabilidad del trabajador queda garantizado dentro de los límites que la ley establezca, así como su derecho a la indemnización en caso de despido injustificado. .-Durante el período de prueba, cualquiera de las partes podrá dar por terminado el contrato de trabajo, sin incurrir en responsabilidad alguna. No obstante, los trabajadores gozarán durante dicho período de todas las prestaciones, con excepción del preaviso y la indemnización por despido. CAPITULO VII De los Derechos y Obligaciones que Derivan del Contrato de Trabajo. .-La suspensión total o parcial de los contratos de trabajo que no se ajuste a las causas determinadas por la Ley, dará derecho al trabajador al reintegro a su trabajo. En caso de negativa del empleador, el hecho será considerado como despido por causa injustificada, legalmente indemnizable. El trabajador tendrá derecho al pago de los salarios correspondientes a los días de suspensión, en los casos previstos en los incisos e), g), i), l), y m) del artículo 71.
¿Cuál es el salario mínimo legal en Paraguay?	Según los artículos Artículo 43, Artículo 105, Artículo 126, .-El contrato de trabajo, en cuanto a la forma de celebrarlo, puede ser verbal o escrito. Deberán constar por escrito los contratos individuales en que se estipule una remuneración superior al salario mínimo legal correspondiente a la naturaleza del trabajo. .-Contrato de aprendizaje es aquel por el cual un aprendiz se obliga a prestar servicio a un empleador, a cambio de que éste le enseñe prácticamente, por sí o por otro, una profesión, arte u oficio, durante un tiempo determinado y le pague un salario que puede ser convencional. El monto en dinero efectivo no podrá ser inferior al 60% (sesenta por ciento) del salario mínimo. El aprendizaje podrá realizarse en el lugar de trabajo o en una institución especializada por cuenta del empleador, o bajo régimen de aprendizaje dual. .-El salario de los menores se ajustará a las siguientes bases: a) Determinación inicial de un salario convencional, no inferior al 60% (sesenta por ciento) del salario mínimo para actividades diversas no especificadas, conforme a la jornada de trabajo respectiva; b) Escala progresiva fundada en la antigüedad y merecimientos en relación con los salarios percibidos por los trabajadores mayores de dieciocho años para actividades diversas no especificadas. Si el menor de dieciocho años realiza un trabajo de igual naturaleza, duración y eficacia, que otros trabajadores mayores, en la misma actividad, tendrá derecho a percibir el salario mínimo legal.
¿Qué requisitos debo cumplir para casarme legalmente?	Según los artículos Artículo 51, Artículo 52, Artículo 62, DEL MATRIMONIO Y DE LOS EFECTOS DE LAS UNIONES DE HECHO La ley establecerá las formalidades para la celebración del matrimonio entre el hombre y la mujer, los requisitos para contraerlo, las causas de separación, de disolución y sus efectos, así como el régimen de administración de bienes y otros derechos y obligaciones entre cónyuges. Las uniones de hecho entre el hombre y la mujer, sin impedimentos legales para contraer matrimonio, que reúnan las condiciones de estabilidad y singularidad, producen efectos similares al matrimonio, dentro de las condiciones que establezca la ley. DE LA UNION EN MATRIMONIO La unión en matrimonio del hombre y la mujer es uno de los componentes fundamentales en la formación de la familia. .-Son obligaciones de los empleadores: a) Dar ocupación efectiva a los trabajadores por ellos contratados; b) Pagar la remuneración pactada en las condiciones, períodos y lugares convenidos en el contrato, o en las leyes o reglamentos de trabajo y cláusulas de los contratos colectivos, o en su defecto, según la costumbre; c) Pagar al trabajador el salario correspondiente al tiempo que deje de trabajar por causas imputables al empleador; d) Suministrar oportunamente a los trabajadores los útiles, instrumentos y elementos necesarios para ejecutar el trabajo convenido, los cuales serán de buena calidad y repuestos tan pronto como dejen de ser eficientes, siempre que aquéllos no se hayan obligado a usar herramientas propias; e) Proporcionar lugar seguro para la guarda de los útiles y herramientas del trabajador, bajo inventario que podrá solicitar cualquiera de las partes; f) Indemnizar al trabajador por la pérdida de sus herramientas o útiles propios, cuando confiados a la guarda del empleador, se extraviasen, o cuando se destruyesen; g) Reintegrar al trabajador los gastos debidamente autorizados que éste hubiera efectuado en ocasión de su trabajo y requeridos para su ejecución; h) Conceder licencia al trabajador para cumplir sus obligaciones personales impuestas por leyes o disposiciones gubernativas; pero el empleador no está obligado a reconocer por estas causas, más de dos días remunerados en cada mes calendario, y en ningún caso más de quince días en el mismo año; i) Otorgar licencia a los miembros directivos sindicales para desempeñar las actividades indispensables en el ejercicio de sus cargos, sin estar obligado el empleador a darles retribución; j) Conceder, a solicitud del trabajador, tres días de licencia con goce de salario para contraer matrimonio, dos días en caso de nacimiento de un hijo y cuatro días en caso de fallecimiento del cónyuge, hijos, padres, abuelos o hermanos; k) Guardar la debida consideración hacia los trabajadores, respetando su dignidad humana y absteniéndose de maltratarlos de palabra o de hecho; l) Adoptar, conforme a las leyes y reglamentos, las medidas adecuadas en los establecimientos industriales y comerciales, para crear y mantener las mejores condiciones de higiene y seguridad en el trabajo, previniendo en lo posible los riesgos profesionales; ll) Expedir gratuitamente al trabajador, cuando éste lo solicitase, una constancia escrita relativa a sus servicios; m) Preferir, en igualdad de circunstancias, a los trabajadores paraguayos, y a los que les hubieren prestado satisfactoriamente servicios con anterioridad; n) Observar buenas costumbres y moralidad durante las horas de labor; ñ) Cumplir las disposiciones del reglamento interno; o) Atender las quejas justificadas que los trabajadores elevasen; p) Capacitar al trabajador para prestar auxilio en caso de accidente; y, q) Cumplir con las demás obligaciones que les impongan las leyes o reglamentos de Trabajo.
¿Cómo se reparten los bienes en caso de divorcio?	Según los artículos Artículo 267, .-En caso de separación o divorcio de los cónyuges, percibirá la asignación familiar que corresponda a uno de ellos, el progenitor que tenga a los hijos bajo su guarda o tenencia.
¿Puedo desheredar a un hijo?	Según los artículos Artículo 28, Artículo 158, Artículo 191, La persona física tiene capacidad de derecho desde su concepción para adquirir bienes por donación, herencia o legado. La irrevocabilidad de la adquisición está subordinada a la condición de que nazca con vida, aunque fuere por instantes después de estar separada del seno materno. Será necesaria la conformidad de ambos cónyuges para que la mujer pueda realizar válidamente los actos siguientes:a) ejercer profesión, industria o comercio por cuenta propia, o efectuar trabajos fuera de la casa;b) dar sus servicios en locación;c) constituir sociedades colectivas, de capital e industria, o en comandita, simple o por acciones;d) aceptar donaciones; e) renunciar a las herencias o legados; f) disponer a título gratuito por actos entre vivos, de los bienes que ella administre.En todos los supuestos en que se exija el acuerdo del marido, si éste lo negare, o no pudiere prestarlo, podrá la mujer requerir al juez la debida autorización, quien la concederá cuando la petición respondiere a las necesidades o intereses del hogar. Son bienes gananciales:a) los adquiridos a título oneroso por cualquiera de los esposos durante el matrimonio, cuando no se probare que son propios.Tratándose de muebles se aplicarán las reglas del usufructo; b) los adquiridos por donación, herencia o legados, en favor de ambos cónyuges; c) los frutos naturales y civiles de los bienes comunes o de los propios de los cónyuges, percibidos durante el matrimonio, o pendientes al tiempo de la disolución de la comunidad de bienes.Los productos de otra clase se regirán por las disposiciones sobre el usufructo; d) los frutos civiles de la profesión, trabajo o industria de cualquiera de los esposos; e) los que recibiesen los cónyuges por el usufructo de los bienes de los hijos de otro matrimonio; f) los adquiridos por hechos fortuitos.Quedan exceptuados los provenientes de sorteo o redención, con prima o sin ella, de valores que pertenecieren a uno de los esposos, g) el valor que en el momento de la enajenación, o al disolverse la comunidad de bienes, tuvieren las mejoras hechas en bienes propios de los esposos cuando éstas hubiesen aumentado su precio. El importe no podrá exceder de lo que realmente se gastó, para lo cual se tendrán en cuenta las alteraciones que el signo monetario hubiese experimentado entre el momento en que se hicieron las mejoras, y el de su enajenación, o de la liquidación de la comunidad; h) los bienes que durante el matrimonio debieron adquirirse por uno de los cónyuges, pero que fueron adquiridos después de disuelta la comunidad, por no haberse tenido noticia de ellos, o por haberse impedido injustamente su adquisición; e i) lo invertido en cargas de los bienes propios, o en cualquier otro concepto, siempre que uno solo de los esposos hubiere obtenido provecho.
¿Qué pena se aplica por hurto?	Según los artículos Artículo 81, Artículo 161, Artículo 162, .-Son causas justificadas de terminación del contrato por voluntad unilateral del empleador, las siguientes: a) El engaño por parte del trabajador mediante certificados o referencias personales falsas sobre la capacidad, conducta moral o actitudes profesionales del trabajador; b) Hurto, robo u otro delito contra el patrimonio de las personas, cometido por el trabajador en el lugar del trabajo, cualesquiera que sean las circunstancias de su comisión; c) Los actos de violencia, amenazas, injurias o malos tratamientos del trabajador para con el empleador, sus representantes, familiares o jefes de la empresa, oficina o taller, cometidos durante las labores; d) La comisión de alguno de los mismos actos contra los compañeros de labor, si con ellos se alterase el orden en el lugar del trabajo; e) La perpetración fuera del servicio, contra el empleador, sus representantes, o familiares, de algunos de los actos enunciados en el inciso c), si fuesen de tal gravedad que hicieran imposible el cumplimiento del contrato; f) Los perjuicios materiales que ocasione el trabajador intencionalmente, por negligencia, imprudencia o falta grave, en los edificios, obras, maquinarias, herramientas, materias primas, productos y demás objetos relacionados con el trabajo. g) La comisión por el trabajador de actos inmorales, en el lugar del trabajo; h) La revelación por el trabajador de secretos industriales o de fábrica o asuntos de carácter reservado que conociese en razón de sus funciones en perjuicio de la empresa; i) El hecho de comprometer el trabajador con su imprudencia o descuido inexcusables la seguridad de la empresa, fábrica, taller u oficina, así como la de las personas que allí se encontrasen; j) La concurrencia del trabajador a sus tareas en estado de embriaguez, o bajo influencia de alguna droga o narcótico, o portando armas peligrosas, salvo aquéllas que, por la naturaleza de su trabajo, le estuviesen permitidas; k) La condena del trabajador a una pena privativa de libertad de cumplimiento efectivo; l) La negativa manifiesta del trabajador para adoptar las medidas preventivas o someterse a los procedimientos indicados por las Leyes, los reglamentos, las autoridades competentes o el empleador, que tiendan a evitar accidentes de trabajo y enfermedades profesionales; ll) La falta de acatamiento del trabajador, en forma manifiesta y reiterada y con perjuicio del empleador, de las normas que éste o sus delegados le indiquen claramente para la mayor eficacia y rendimiento en las labores; m) El trabajo a desgano o disminución intencional en el rendimiento del trabajo y la incitación a otros trabaja¬dores para el mismo fin; n) La pérdida de la confianza del empleador en el trabajador que ejerza un puesto de dirección, fiscalización o vigilancia. Si dicho trabajador hubiese sido promovido de un empleo de escalafón, podrá volver a éste, salvo que medie otra causa justificada de despido; ñ) La negociación del trabajador por cuenta propia o ajena, sin permiso expreso del empleador, cuando constituya un acto de competencia a la empresa donde trabaja; o) Participar en una huelga declarada ilegal por autoridad competente; p) La inasistencia del trabajador a las tareas contratadas durante tres días consecutivos o cuatro veces en el mes, siempre que se produjera sin permiso o sin causa justificada; q) El abandono del trabajo de parte del trabajador. Se entiende por abandono del trabajo: 1) la dejación o interrupción intempestiva e injustificada de las tareas; 2) la negativa de trabajar en las labores a que ha sido destinado; y, 3) la falta injustificada o sin aviso previo, de asistencia del trabajador que tenga a su cargo una faena o máquina, cuya paralización implique perturbación en el resto de la obra o industria. El abandono del trabajo como acto de incumplimiento del trabajador sólo quedará configurado, con la falta de justificación o silencio del trabajador, ante intimación hecha en forma fehaciente para que se reintegre al trabajo, en un plazo no menor de tres días; r) La falta reiterada de puntualidad del trabajador en el cumplimiento del horario de trabajo, después de haber sido apercibido por el empleador o sus delegados; s) La interrupción de las tareas por el trabajador, sin causa justificada aunque permanezca en su puesto. En caso de huelga, deberá abandonar el lugar de trabajo; t) La desobediencia del trabajador al empleador o sus representantes, siempre que se trate del servicio contratado. Habrá desobediencia justificada, cuando la orden del empleador o sus representantes ponga en peligro la vida, integridad orgánica o la salud del trabajador o vaya en desmedro de su decoro o personalidad; u) Comprobación en el trabajador de enfermedad infectocontagiosa o mental o de otras dolencias o perturbación orgánicas, siempre que le incapaciten permanentemente para el cumplimiento de las tareas contratadas o constituyan un peligro para terceros; y, v) Las violaciones graves por el trabajador de las cláusulas del contrato de trabajo o disposiciones del reglamento interno de taller, aprobado por la autoridad competente. Hurto 1º  El que con la intención de apropiarse de una cosa mueble ajena, la sustrajera de la posesión de otro, será castigado con pena privativa de libertad de hasta cinco años o con multa. 2º En estos casos, será castigada también la tentativa. Hurto agravado 1º  Cuando el autor hurtara: 1. del interior de una iglesia o de otro edificio o lugar cerrado dedicado al culto, una cosa destinada al ejercicio del mismo o a la veneración religiosa; 2. una cosa significativa para el arte, la ciencia, la historia o el desarrollo técnico, que se halle en una colección con acceso del público o que esté públicamente expuesta; 3. una cosa especialmente protegida contra la sustracción por medio de un recipiente cerrado o una instalación de seguridad; 4. comercialmente; 5. aprovechándose de una situación de desamparo de otro, de un accidente o de un peligro común; 6. habiendo, con el fin de realizar el hecho, a) entrado mediante la apertura forzosa de las instalaciones destinadas a impedir el acceso de personas no autorizadas; b) logrado la entrada por escalamiento u otra vía irregular; c) penetrado mediante llave falsa u otro instrumento no destinado a la apertura regular; o d) permanecido oculto en un edificio, una morada, un local comercial, un despacho oficial u otro lugar cerrado, la pena privativa de libertad podrá ser aumentada hasta diez años. 2º Cuando el hecho se refiera a una cosa de valor menor a diez jornales, no se aplicará el inciso 1°.
